New EF correspondence table,,,,,,,,
,,,,,,,,
,,,,,,,,
Sector,Subsector,Energy carrier,Energy carrier type,End Use Application,Scope,GREET Version,GREET Tab,GREET Pathway
Industrial,-,Propane,-,On farm energy use,,GREET1_2020,,
Residential,-,Propane,-,Other Uses,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Propane,-,Plastics Consumption,,GREET1_2020,,
Transportation,On Road,Propane,-,School Bus,,GREET1_2020,,
Residential,-,Propane,-,Space Heating,,GREET1_2020,,
Transportation,On Road,Propane,-,Transit Bus,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Propane,-,Transportation Equipment Consumption,,GREET1_2020,,
Residential,-,Propane,-,Water Heating,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Propane,-,Wood Products Consumption,,GREET1_2020,,
Industrial,Food Industry,Renewables,-,-,,GREET1_2020,,
Industrial,Paper Industry,Renewables,-,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Renewables,-,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Renewables,-,-,,GREET1_2020,,
Industrial,Aluminum Industry,Renewables,-,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Renewables,-,Balance of Manufacturing Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Renewables,-,Computers Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Renewables,-,Electrical Equipment Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Renewables,-,Fabricated Metal Products Consumption,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Renewables,-,Heat and Power,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Renewables,-,Machinery Consumption,,GREET1_2020,,
Agriculture,Nonmanufacturing Sector,Renewables,-,Mining,,GREET1_2020,,
Industrial,-,Renewables,-,On farm energy use,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Renewables,-,Plastics Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Renewables,-,Transportation Equipment Consumption,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Renewables,-,Wood Products Consumption,,GREET1_2020,,
Transportation,Refining Industry,Residual Fuel Oil,Petroleum Fuel Oil,-,,GREET1_2020,,
Transportation,Food Industry,Residual Fuel Oil,Petroleum Fuel Oil,-,,GREET1_2020,,
Industrial,Paper Industry,Residual Fuel Oil,Petroleum Fuel Oil,-,,GREET1_2020,,
Industrial,Glass Industry,Residual Fuel Oil,Petroleum Fuel Oil,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Residual Fuel Oil,Petroleum Fuel Oil,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Residual Fuel Oil,Petroleum Fuel Oil,-,,GREET1_2020,,
Industrial,Aluminum Industry,Residual Fuel Oil,Petroleum Fuel Oil,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Residual Fuel Oil,Petroleum Fuel Oil,Balance of Manufacturing Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Residual Fuel Oil,Petroleum Fuel Oil,Computers Consumption,,GREET1_2020,,
Transportation,Marine,Residual Fuel Oil,Petroleum Fuel Oil,Domestic Shipping,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Residual Fuel Oil,Petroleum Fuel Oil,Electrical Equipment Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Residual Fuel Oil,Petroleum Fuel Oil,Fabricated Metal Products Consumption,,GREET1_2020,,
Transportation,Rail,Residual Fuel Oil,Petroleum Fuel Oil,Freight Rail,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Residual Fuel Oil,Petroleum Fuel Oil,Heat and Power,,GREET1_2020,,
Transportation,Marine,Residual Fuel Oil,Petroleum Fuel Oil,International Shipping,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Residual Fuel Oil,Petroleum Fuel Oil,Machinery Consumption,,GREET1_2020,,
Transportation,Military,Residual Fuel Oil,Petroleum Fuel Oil,Military Use,,GREET1_2020,,
Agriculture,Nonmanufacturing Sector,Residual Fuel Oil,Petroleum Fuel Oil,Mining,,GREET1_2020,,
Industrial,-,Residual Fuel Oil,Petroleum Fuel Oil,On farm energy use,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Residual Fuel Oil,Petroleum Fuel Oil,Plastics Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Residual Fuel Oil,Petroleum Fuel Oil,Transportation Equipment Consumption,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Residual Fuel Oil,Petroleum Fuel Oil,Wood Products Consumption,,GREET1_2020,,
