Mapping of LCI and Emissions Factors from GREET to Decarbonization Tool,,,,,,,
Mapping of life cycle inventory and emissions from GREET to Decarbonization Tool metadata conventions.,,,,,,,
,,,,,,,
Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Scope,GREET Tab,GREET Pathway
Agriculture,-,On Farm Energy Use,Propane,Not Specified,"Direct, Combustion",EF,LPG: Commercial Boiler
Agriculture,-,On Farm Energy Use,Gasoline,Not Specified,"Direct, Combustion",EF,Gasoline: Farming Tractor
Agriculture,-,On Farm Energy Use,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Stationary Reciprocating Engine
Agriculture,-,On Farm Energy Use,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Agriculture,-,On Farm Energy Use,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Construction and Mining,Construction,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Construction and Mining,Construction,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Construction and Mining,Construction,Gasoline,Not Specified,"Direct, Combustion",EF,Gasoline: Stationary Reciprocating Engine
Industrial,Construction and Mining,Construction,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Construction and Mining,Construction,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Construction and Mining,Mining,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Construction and Mining,Mining,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Construction and Mining,Mining,Gasoline,Not Specified,"Direct, Combustion",EF,Gasoline: Stationary Reciprocating Engine
Industrial,Construction and Mining,Mining,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Construction and Mining,Mining,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Construction and Mining,Mining,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,-,Natural Gas Liquefaction for Export,Liquefied Natural Gas,Not Specified,"Direct, Combustion",,
Industrial,Other Manufacturing,Fabricated Metal Products,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Other Manufacturing,Fabricated Metal Products,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Other Manufacturing,Fabricated Metal Products,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Other Manufacturing,Fabricated Metal Products,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
Industrial,Other Manufacturing,Fabricated Metal Products,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Other Manufacturing,Fabricated Metal Products,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Other Manufacturing,Fabricated Metal Products,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Other Manufacturing,Machinery,Propane,Not Specified,"Direct, Combustion",EF,LPG: Commercial Boiler
Industrial,Other Manufacturing,Machinery,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Other Manufacturing,Machinery,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Other Manufacturing,Machinery,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
Industrial,Other Manufacturing,Machinery,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Other Manufacturing,Machinery,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Other Manufacturing,Machinery,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Other Manufacturing,Computers,Propane,Not Specified,"Direct, Combustion",EF,LPG: Commercial Boiler
Industrial,Other Manufacturing,Computers,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Other Manufacturing,Computers,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Other Manufacturing,Computers,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
