,AEO Case,Case,GREET Pathway,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Year,Energy Unit,Electricity Production,Scope,Flow Name,Formula,EF_Unit (Numerator),EF_Unit (Denominator),EF_withElec,Total Emissions,Mitigation Case,"Emissions Category, Detailed","Emissions Category, Aggregate"
70,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2027,mmbtu,2359732851.1228194,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,115449892339.41824,-,CH4,CH4
71,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2027,mmbtu,2359732851.1228194,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16677457019.805311,-,N2O,N2O
72,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2026,mmbtu,2444435729.1793194,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,743930865671689.6,-,CO2,CO2
73,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2026,mmbtu,2444435729.1793194,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,119593979305.7919,-,CH4,CH4
74,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2026,mmbtu,2444435729.1793194,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,17276096229.141624,-,N2O,N2O
75,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2025,mmbtu,2387014353.75804,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,726455448742011.1,-,CO2,CO2
76,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2025,mmbtu,2387014353.75804,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,116784639423.4346,-,CH4,CH4
77,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2025,mmbtu,2387014353.75804,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16870269561.029247,-,N2O,N2O
78,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2024,mmbtu,2639541867.0821996,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,803308772947116.4,-,CO2,CO2
79,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2024,mmbtu,2639541867.0821996,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,129139544010.25803,-,CH4,CH4
80,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2024,mmbtu,2639541867.0821996,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,18655012587.248528,-,N2O,N2O
81,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2023,mmbtu,2951123730.9645596,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,898134487920372.9,-,CO2,CO2
82,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2023,mmbtu,2951123730.9645596,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,144383681762.12994,-,CH4,CH4
83,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2023,mmbtu,2951123730.9645596,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,20857123364.566525,-,N2O,N2O
84,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2022,mmbtu,3364041195.0074997,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,1023800318610695.4,-,CO2,CO2
85,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2022,mmbtu,3364041195.0074997,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,164585662145.689,-,CH4,CH4
86,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2022,mmbtu,3364041195.0074997,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,23775425432.54274,-,N2O,N2O
87,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2021,mmbtu,3189917302.3094997,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,970808073127343.1,-,CO2,CO2
