,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Scope,Formula,"Emissions Category, Detailed","Emissions Category, Aggregate",Year,EF_Unit (Numerator),Total Emissions
117,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2040,g,1655506.4040584713
118,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2040,g,67.16471359647663
119,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2040,g,23.123873469755544
120,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2039,g,1681907.3959892592
121,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2039,g,68.23581489656658
122,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2039,g,23.4926386979582
123,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2038,g,1712935.6660752
124,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2038,g,69.49464715998
125,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2038,g,23.926037076662002
126,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2037,g,1788684.2122748808
127,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2037,g,72.56780314317567
128,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2037,g,24.984081789473322
129,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2036,g,1840156.5571240033
130,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2036,g,74.65606163100468
131,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2036,g,25.703040040897093
132,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2035,g,1864697.0623759634
133,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2035,g,75.65168206637118
134,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2035,g,26.045818260865943
135,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2034,g,1869428.7741701233
136,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2034,g,75.84364995408018
137,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2034,g,26.111910125298042
138,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2033,g,1877312.813957801
139,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2033,g,76.16350934757118
140,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2033,g,26.222033250182275
141,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2032,g,1878551.738495621
142,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2032,g,76.21377312882042
