,Sector,End Use Application,Year,Energy carrier,Formula,Energy Unit,Emissions Unit,Total Emissions_ref_case,Electricity Production_ref_case,CI_ref_case_elec,Case,Mitigation Case,Total Emissions_mtg_elec,Electricity Production_mtg_elec,CI_elec_mtg,CI_diff_elec_mtg_ref_case
57,Electric Power,Electricity Generation,2050,Electricity,CO2,mmbtu,g,835672153326929.4,17409696690.228886,48000.38554353142,Mitigation,NREL Electric Power Decarb,171220551816647.2,22726318358.222153,7534.020650322419,-40466.364893209
58,Electric Power,Electricity Generation,2022,Electricity,N2O,mmbtu,g,27847062349.860073,13745444904.472507,2.0259120416538257,Mitigation,NREL Electric Power Decarb,25242322962.12769,13084867517.185936,1.9291233120223723,-0.09678872963145335
59,Electric Power,Electricity Generation,2023,Electricity,N2O,mmbtu,g,26541997546.66246,13592924392.515608,1.9526333539585297,Mitigation,NREL Electric Power Decarb,22110935692.966854,13244498721.877983,1.6694430009980528,-0.2831903529604769
60,Electric Power,Electricity Generation,2024,Electricity,N2O,mmbtu,g,27269846404.26989,13769531763.183807,1.980448345903995,Mitigation,NREL Electric Power Decarb,18430435851.392593,13390941751.362417,1.3763360481735685,-0.6041122977304265
61,Electric Power,Electricity Generation,2025,Electricity,N2O,mmbtu,g,25482131577.69739,13888050861.461626,1.8348241831694707,Mitigation,NREL Electric Power Decarb,15748665246.254053,13558908878.046051,1.1614994530830982,-0.6733247300863725
62,Electric Power,Electricity Generation,2026,Electricity,N2O,mmbtu,g,22802668575.9151,14017421872.871132,1.6267376970401848,Mitigation,NREL Electric Power Decarb,13023795328.478045,13756483642.403957,0.946738691879993,-0.6799990051601917
63,Electric Power,Electricity Generation,2027,Electricity,N2O,mmbtu,g,20329643190.988075,14130780740.68322,1.438677987017237,Mitigation,NREL Electric Power Decarb,10668337216.929642,14063845766.988962,0.7585647193295201,-0.680113267687717
64,Electric Power,Electricity Generation,2028,Electricity,N2O,mmbtu,g,17880731782.47387,14263952125.333183,1.2535608382137782,Mitigation,NREL Electric Power Decarb,7839535519.326183,14368364076.633469,0.5456108626921012,-0.7079499755216769
65,Electric Power,Electricity Generation,2029,Electricity,N2O,mmbtu,g,16149622503.528765,14402074630.086279,1.1213400095699975,Mitigation,NREL Electric Power Decarb,5037333441.020699,14700224981.764435,0.3426704997555812,-0.7786695098144163
66,Electric Power,Electricity Generation,2030,Electricity,N2O,mmbtu,g,15152487126.929142,14504818524.650194,1.0446519617724461,Mitigation,NREL Electric Power Decarb,2664771004.8441978,15006654312.95116,0.17757262540154778,-0.8670793363708984
67,Electric Power,Electricity Generation,2031,Electricity,N2O,mmbtu,g,14902040216.673183,14620996283.9863,1.019221941325209,Mitigation,NREL Electric Power Decarb,2649102771.5920076,15323174173.62629,0.17288211577935012,-0.846339825545859
